M0010;M0020;M0100;M0101;M0110;M0120;M0130;M0140;M0150;M0160;M0170;MM0150;MM0160;MM0170
5;52;4061766;M001;7.9033949794096;01;01;1;1;1;17;0;0;0
5;52;2741049;M001;13.3456776878497;01;01;1;3;1;15;0;0;0
5;52;4075604;M001;9.388069833252;01;01;1;1;2;17;0;0;0
5;52;2836442;M001;8.2204843861099;01;01;1;2;1;14;0;0;0
5;52;1280559;M001;10.5005047790032;01;01;1;2;1;13;0;0;0
5;52;7416497;M001;18.2176154289923;01;01;1;3;2;12;0;0;0
5;52;5164952;M001;9.8519517853649;01;01;1;4;2;01;0;0;0
5;52;4998495;M001;18.3726730895329;01;01;1;2;1;10;0;0;0
5;52;4604138;M001;9.3863281600819;01;01;1;3;1;17;0;0;0
5;52;5196056;M001;10.5180949722032;01;01;1;1;1;09;0;0;0
5;52;1388077;M001;14.9712905333512;01;01;1;2;1;11;0;0;0
5;52;7393037;M001;14.3322334083904;01;01;1;4;2;17;0;0;0
5;52;1578573;M001;10.7535751856079;01;01;1;2;1;09;0;0;0
5;52;4439787;M001;13.3312299230857;01;01;1;4;2;12;0;0;0
5;52;1413405;M001;5.765497028569;01;01;1;2;2;10;0;0;0
5;52;177783;M001;14.5758566217687;01;01;1;2;1;15;0;0;0
5;52;177783;M002;14.5758566217687;01;01;1;2;2;16;0;0;0
5;52;6509562;M001;10.7740410977986;01;01;1;2;2;10;0;0;0
5;52;1394235;M001;10.099528888815;01;01;1;3;2;15;0;0;0
5;52;1355271;M001;12.7884283713176;01;01;1;4;1;11;0;0;0
5;52;45136;M001;14.8381163754357;01;01;1;3;1;17;0;0;0
5;52;1255976;M001;10.2312303427971;01;01;1;4;1;14;0;0;0
5;52;3907962;M001;11.8229107346056;01;01;1;2;1;13;0;0;0
5;52;5878393;M001;10.6780704867171;01;01;1;1;1;17;0;0;0
5;52;7009146;M001;10.3631744752168;01;01;1;1;2;10;0;0;0
5;52;3500029;M001;14.2260225104775;01;01;1;1;1;03;0;0;0
5;52;4498974;M001;10.088102470156;01;01;1;2;1;08;0;0;0
5;52;5955874;M001;8.1790546533297;01;01;1;3;2;10;0;0;0
5;52;6304681;M001;5.2452012963231;01;01;1;1;1;09;0;0;0
5;52;5630393;M001;11.0862374008378;01;01;1;4;1;14;0;0;0
5;52;768590;M001;7.3665841011395;01;01;1;1;1;06;0;0;0
5;52;1194668;M001;10.2430801472071;01;01;1;1;2;16;0;0;0
5;52;1528066;M001;10.2430801472071;01;01;1;3;1;10;0;0;0
5;52;7428357;M001;9.6801996262104;01;01;1;4;1;10;0;0;0
5;52;6077156;M001;18.5808929279195;01;01;1;4;1;17;0;0;0
5;52;6077156;M002;18.5808929279195;01;01;1;4;2;12;0;0;0
5;52;1870036;M001;4.4550747877116;01;01;1;1;1;99;0;0;1
5;52;1589794;M001;11.1114165574043;01;01;1;3;1;13;0;0;0
5;52;3640170;M001;10.2430801472071;01;01;1;3;2;17;0;0;0
5;52;7361972;M001;9.6801996262104;01;01;1;1;1;17;0;0;0
5;52;7361972;M002;9.6801996262104;01;01;1;2;2;17;0;0;0
5;52;367281;M001;6.2587516137454;01;01;1;3;2;01;0;0;0
5;52;5701151;M001;6.8907180315191;01;01;1;1;1;06;0;0;0
5;52;6591730;M001;6.1194278866997;01;01;1;4;1;07;0;0;0
