F0010;F0020;F0100;F0101;F0110;F0120;F0130;F0140;F0150;F0160;F0170;F0180;F0190;F0200;F0210;F0220;F0230;F0240;F0250;F0260;F0270;MF0190;MF0200
5;52;6102993;F001;3.4960185388035;01;01;1;01;4;1;11;1;4;04;;1;3;1;1325;1;0;0
5;52;2001383;F001;3.9166911378125;01;01;1;01;3;1;11;4;1;03;;1;1;2;0;4;0;0
5;52;3913183;F001;5.5103054513;01;01;1;01;2;2;07;3;4;05;;0;0;2;500;;0;0
5;52;5192489;F001;3.6331708713875;01;01;1;01;4;2;07;3;4;03;;1;3;1;375;2;0;0
5;52;4428552;F001;6.0642451235669;01;01;1;01;4;2;10;4;4;10;;1;2;2;25;;0;0
5;52;3613517;F001;5.6824839760361;01;01;1;01;2;1;12;2;1;01;;0;1;1;0;4;0;0
5;52;2760252;F001;5.6824839760361;01;01;1;01;2;2;12;2;4;01;;0;1;1;1400;1;0;0
5;52;141516;F001;5.7555435440541;01;01;1;01;4;1;09;4;4;03;;1;3;1;100;3;0;0
5;52;3033485;F001;5.6883614446267;01;01;1;01;3;1;07;2;4;03;;0;1;2;0;4;0;0
5;52;1647579;F001;4.650647095294;01;01;1;01;4;2;05;3;4;03;;2;2;2;0;4;0;0
5;52;1519745;F001;4.8123211743355;01;01;1;01;2;2;09;3;4;01;;0;1;1;800;3;0;0
5;52;2646232;F001;4.642234893317;01;01;1;01;4;2;08;1;4;03;;2;2;2;0;4;0;0
5;52;3207668;F001;4.1876279413401;01;01;1;01;3;2;15;1;5;03;;1;2;1;0;4;0;0
5;52;6073681;F001;5.6621036004314;01;01;1;01;7;1;07;1;4;10;;0;3;4;171.43;;0;0
5;52;6090376;F001;5.2769378070789;01;01;1;01;3;2;07;4;1;03;;1;2;1;0;4;0;0
5;52;478533;F001;6.4455731448728;01;01;1;01;3;1;04;3;4;03;;1;2;1;604;1;0;0
5;52;6057729;F001;5.6129467630902;01;01;1;01;2;1;07;3;4;10;;0;1;1;1500;;0;0
5;52;2743816;F001;5.4502436209354;01;01;1;01;2;1;14;1;4;10;;0;2;0;606;;0;0
5;52;4320904;F001;6.6846722538318;01;01;1;01;4;1;09;3;1;03;;2;2;2;150;3;0;0
5;52;3836069;F001;5.1801584144978;01;01;1;01;4;2;08;4;1;03;;1;1;3;0;4;0;0
5;52;4174447;F001;6.2822106093845;01;01;1;01;3;1;10;2;4;03;;1;2;1;33.33;4;0;0
5;52;3782806;F001;4.8106609382081;01;01;1;01;3;1;11;3;1;03;;1;2;1;733.33;2;0;0
5;52;6849488;F001;3.8029750966069;01;01;1;01;6;2;04;2;4;04;;1;2;4;1233.33;1;0;0
5;52;7268675;F001;6.2200586117601;01;01;1;01;4;2;12;1;4;03;;2;2;2;303;2;0;0
5;52;1648488;F001;6.2190908528544;01;01;1;01;2;2;11;1;4;01;;0;1;1;1100;3;0;0
5;52;3296579;F001;5.6985084261616;01;01;1;01;4;2;09;3;2;03;;1;2;2;25;4;0;0
5;52;401586;F001;6.8755459225705;01;01;1;01;3;2;10;3;4;03;;0;1;2;2066.67;1;0;0
5;52;2852817;F001;3.5229111125212;01;01;1;01;3;1;06;4;4;03;;1;1;2;1033.33;1;0;0
5;52;4733341;F001;4.9892238811007;01;01;1;01;4;2;07;2;4;03;;0;2;2;150;2;0;0
5;52;434193;F001;6.2012080532705;01;01;1;01;2;2;05;3;4;05;;1;0;2;650;;0;0
5;52;417488;F001;7.6195962151463;08;01;2;01;2;1;13;1;4;01;;0;1;1;1000;2;0;0
5;52;1794053;F001;9.2259431622477;08;01;2;01;2;1;08;1;4;01;;0;1;1;1800;1;0;0
5;52;5747059;F001;5.7878326214975;08;01;2;01;4;1;10;1;1;03;;0;1;3;1858;1;0;0
5;52;1446111;F001;4.1357810650041;08;01;2;01;4;1;11;3;4;03;;1;2;2;2125;1;0;0
5;52;5748671;F001;5.2550633014129;08;01;2;01;2;1;12;1;4;01;;0;1;1;850;2;0;0
5;52;484654;F001;2.8321755475651;08;01;2;01;7;1;08;4;4;04;;3;4;3;2714.29;1;0;0
5;52;5920537;F001;3.5011889788524;08;01;2;01;5;1;08;3;4;03;;1;3;2;1600;2;0;0
5;52;6139673;F001;5.9647261761771;08;01;2;01;4;1;07;1;4;03;;2;2;2;1100;1;0;0
5;52;2587545;F001;5.7027537265519;08;01;2;01;2;1;09;1;4;07;;0;2;0;1212;;0;0
5;52;1491790;F001;2.8321755475651;08;01;2;01;4;1;14;1;4;04;;0;2;2;2034;1;0;0
5;52;5206027;F001;4.9726981267295;08;01;2;01;2;1;08;2;4;01;;0;1;1;750;2;0;0
5;52;4124816;F001;4.7774500530623;08;01;2;01;2;1;11;1;4;01;;0;1;1;2106;1;0;0
5;52;2023673;F001;6.1398413785481;08;01;2;01;2;1;08;2;4;01;;0;1;1;1356;1;0;0
5;52;3824746;F001;7.9570202733745;08;01;2;01;3;1;12;3;4;02;;0;2;1;404;4;0;0
5;52;6600642;F001;4.3050729269879;08;01;2;01;2;1;12;2;4;01;;0;1;1;606;2;0;0
5;52;1209260;F001;3.5089548243765;08;01;2;01;2;2;13;1;1;10;;0;1;1;1212;;0;0
